city,country,lat,lon,temp,temp_max,windspeed,cloudall,humidity
vao,NC,-22.6667,167.4833,69.69,69.69,14.54,59,62
nara,JP,34.6851,135.8049,71.4,73.9,3.18,4,74
luba,GQ,3.4568,8.5547,73.29,73.29,7.54,97,89
aklavik,CA,68.2191,-135.0107,32.0,32.0,9.22,75,86
boa vista,BR,2.8197,-60.6733,91.38,91.38,3.44,40,49
chicama,PE,-7.8447,-79.1469,61.34,61.34,8.52,33,70
miracatu,BR,-24.2814,-47.4597,64.62,64.62,2.21,100,99
belmonte,BR,-15.8631,-38.8828,72.1,72.1,10.8,100,79
san rafael del sur,NI,11.8485,-86.4384,90.57,90.57,3.89,91,68
burnie,AU,-41.0667,145.9167,51.94,51.94,10.58,13,61
hofn,IS,64.2539,-15.2082,47.61,47.61,5.32,100,83
chegdomyn,RU,51.1167,133.0167,42.39,42.39,2.62,100,98
norman wells,CA,65.282,-126.8329,30.24,30.24,8.05,90,93
vilaka,LV,57.1846,27.6722,44.04,44.04,5.03,90,68
talcahuano,CL,-36.7167,-73.1167,55.08,55.08,11.5,90,82
carolina,PR,18.3808,-65.9574,84.2,85.89,18.41,20,65
ustrzyki dolne,PL,49.4304,22.5938,34.81,37.44,3.4,0,100
safranbolu,TR,41.2508,32.6942,52.86,52.86,0.81,20,89
ostrovnoy,RU,68.0531,39.5131,37.0,37.0,15.3,100,97
kuytun,RU,54.3419,101.5036,34.77,34.77,5.7,92,69
halifax,CA,44.6453,-63.5724,54.54,55.69,1.01,6,65
irtyshskiy,RU,58.3333,68.1333,34.21,34.21,7.7,87,84
avera,US,33.194,-82.5271,77.7,81.28,9.51,45,78
krasnaya gora,RU,52.9995,31.6023,36.86,37.31,3.06,0,76
mahajanga,MG,-15.7167,46.3167,73.42,73.42,3.44,20,88
bayir,TR,37.2687,28.2167,57.72,57.72,2.3,0,78
khuzdar,PK,27.7384,66.6434,72.46,72.46,6.69,0,17
miechow,PL,50.3565,20.0279,38.91,42.04,6.49,0,67
kapurthala,IN,31.3794,75.3847,75.15,75.15,2.28,0,51
beringovskiy,RU,63.05,179.3167,30.34,30.34,6.71,100,93
venado tuerto,AR,-33.7456,-61.9688,69.76,69.76,9.04,0,39
morondava,MG,-20.2833,44.2833,76.06,76.06,4.88,0,80
port macquarie,AU,-31.4333,152.9167,69.89,69.89,9.4,50,66
inzer,RU,54.2167,57.5556,41.63,41.63,2.13,100,81
saint-pierre,RE,-21.3393,55.4781,70.02,71.28,8.05,75,73
san quintin,MX,30.4833,-115.95,69.84,69.84,23.42,23,59
kulhudhuffushi,MV,6.6221,73.07,82.42,82.42,16.91,44,79
lucea,JM,18.451,-78.1736,85.86,85.86,1.19,65,71
saint-denis,FR,48.9167,2.3333,53.17,55.18,1.01,0,82
jamalpur,BD,24.9167,89.9333,78.89,78.89,2.3,2,82
santa rosa,PH,14.3122,121.1114,80.31,82.38,4.47,93,86
sisimiut,GL,66.9395,-53.6735,33.21,33.21,11.95,100,68
mut,TR,36.6439,33.4389,64.94,64.94,1.74,0,30
umm bab,QA,25.2142,50.8072,83.88,83.88,14.76,0,62
novaya zaimka,RU,56.4857,66.9241,35.49,35.49,6.55,97,85
vaitape,PF,-16.5167,-151.75,78.35,78.35,4.61,11,70
kidal,ML,18.4411,1.4078,85.5,85.5,10.2,6,9
nhulunbuy,AU,-12.2333,136.7667,77.61,77.61,5.75,57,88
sabang,ID,5.8933,95.3214,82.15,82.15,21.85,89,78
sayyan,YE,15.1718,44.3244,61.45,61.45,12.95,26,45
nome,US,64.5011,-165.4064,35.69,42.17,3.44,1,75
sept-iles,CA,50.2001,-66.3821,48.07,48.72,1.01,75,76
slave lake,CA,55.2834,-114.769,58.98,58.98,20.71,75,33
guerrero negro,MX,27.9769,-114.0611,75.42,75.42,23.11,4,52
porto murtinho,BR,-21.6989,-57.8825,76.55,76.55,11.5,55,93
chokurdakh,RU,70.6333,147.9167,1.63,1.63,5.3,96,100
cody,US,44.5263,-109.0565,51.01,54.91,5.75,90,82
kampong chhnang,KH,12.1667,104.55,75.34,75.34,2.46,95,92
xifeng,CN,42.7372,124.7222,49.87,49.87,15.9,100,65
lasa,IT,46.6166,10.7002,44.04,46.62,2.46,3,81
piste,MX,20.7,-88.5833,84.72,84.72,7.18,75,65
preobrazheniye,RU,42.9019,133.9064,61.7,61.7,10.09,100,92
freetown,SL,8.484,-13.2299,82.11,82.11,5.75,75,78
coihaique,CL,-45.5752,-72.0662,60.75,61.41,5.75,20,44
uribia,CO,11.7139,-72.266,90.07,90.07,14.65,2,46
biggar,GB,55.6167,-3.5167,51.21,54.9,7.58,51,97
riviere-au-renard,CA,48.9957,-64.3971,50.29,50.29,4.21,9,70
zhangjiakou,CN,40.81,114.8794,44.28,44.28,16.73,100,41
shelburne,CA,44.0787,-80.2041,63.73,65.59,10.51,100,84
aitape,PG,-3.1374,142.3475,80.8,80.8,2.59,30,83
ustyuzhna,RU,58.8394,36.4321,44.8,44.8,6.06,100,84
mount gambier,AU,-37.8333,140.7667,44.51,44.51,6.91,75,93
piet retief,ZA,-27.0071,30.8132,55.33,55.33,7.96,100,84
